site_name,display_name,lga_code,timestamp_local,timestamp_utc,latitude,longitude,temperature_c,apparent_temperature_c,precipitation_probability_pct,weather_code,weather_description,wind_speed_kmh,wind_gusts_kmh,uv_index,pm2_5_ugm3,pm10_ugm3,air_quality_available
banyule,Banyule,20660,2026-08-26T00:00:00+10:00,2026-08-25T14:00:00+00:00,-37.7338437047388,145.08683445465346,11.0,9.1,74,51,light_drizzle,13.9,26.6,0.0,9.8,10.5,true
banyule,Banyule,20660,2026-08-26T01:00:00+10:00,2026-08-25T15:00:00+00:00,-37.7338437047388,145.08683445465346,10.7,8.6,100,51,light_drizzle,14.7,28.4,0.0,5.2,6.0,true
banyule,Banyule,20660,2026-08-26T02:00:00+10:00,2026-08-25T16:00:00+00:00,-37.7338437047388,145.08683445465346,10.5,8.7,89,51,light_drizzle,12.3,28.1,0.0,3.7,4.9,true
banyule,Banyule,20660,2026-08-26T03:00:00+10:00,2026-08-25T17:00:00+00:00,-37.7338437047388,145.08683445465346,10.5,8.7,62,51,light_drizzle,12.6,24.1,0.0,3.8,5.1,true
banyule,Banyule,20660,2026-08-26T04:00:00+10:00,2026-08-25T18:00:00+00:00,-37.7338437047388,145.08683445465346,10.0,8.1,37,2,partly_cloudy,11.5,23.8,0.0,4.2,5.8,true
banyule,Banyule,20660,2026-08-26T05:00:00+10:00,2026-08-25T19:00:00+00:00,-37.7338437047388,145.08683445465346,9.2,7.4,22,3,overcast,9.1,21.6,0.0,4.8,6.6,true
banyule,Banyule,20660,2026-08-26T06:00:00+10:00,2026-08-25T20:00:00+00:00,-37.7338437047388,145.08683445465346,8.5,6.7,10,1,mainly_clear,8.8,16.6,0.0,5.3,7.2,true
banyule,Banyule,20660,2026-08-26T07:00:00+10:00,2026-08-25T21:00:00+00:00,-37.7338437047388,145.08683445465346,7.9,6.0,2,1,mainly_clear,8.0,15.8,0.0,6.2,8.3,true
banyule,Banyule,20660,2026-08-26T08:00:00+10:00,2026-08-25T22:00:00+00:00,-37.7338437047388,145.08683445465346,8.8,6.8,0,2,partly_cloudy,9.7,19.4,0.2,6.7,9.1,true
banyule,Banyule,20660,2026-08-26T09:00:00+10:00,2026-08-25T23:00:00+00:00,-37.7338437047388,145.08683445465346,10.1,8.5,0,51,light_drizzle,8.2,20.9,0.7,6.1,8.6,true
banyule,Banyule,20660,2026-08-26T10:00:00+10:00,2026-08-26T00:00:00+00:00,-37.7338437047388,145.08683445465346,12.2,10.2,0,1,mainly_clear,11.6,25.2,1.75,8.3,12.2,true
banyule,Banyule,20660,2026-08-26T11:00:00+10:00,2026-08-26T01:00:00+00:00,-37.7338437047388,145.08683445465346,13.3,10.4,3,51,light_drizzle,15.5,36.0,2.5,7.3,10.9,true
banyule,Banyule,20660,2026-08-26T12:00:00+10:00,2026-08-26T02:00:00+00:00,-37.7338437047388,145.08683445465346,13.8,10.7,6,51,light_drizzle,15.2,36.4,2.55,7.3,11.0,true
banyule,Banyule,20660,2026-08-26T13:00:00+10:00,2026-08-26T03:00:00+00:00,-37.7338437047388,145.08683445465346,13.9,10.7,8,51,light_drizzle,16.6,38.5,2.45,7.2,10.9,true
banyule,Banyule,20660,2026-08-26T14:00:00+10:00,2026-08-26T04:00:00+00:00,-37.7338437047388,145.08683445465346,14.1,11.0,6,1,mainly_clear,15.4,38.5,1.7,7.5,11.2,true
banyule,Banyule,20660,2026-08-26T15:00:00+10:00,2026-08-26T05:00:00+00:00,-37.7338437047388,145.08683445465346,13.6,10.8,3,0,clear_sky,14.7,36.0,1.1,7.2,10.9,true
banyule,Banyule,20660,2026-08-26T16:00:00+10:00,2026-08-26T06:00:00+00:00,-37.7338437047388,145.08683445465346,13.0,10.3,0,0,clear_sky,13.2,33.8,0.5,7.5,11.1,true
banyule,Banyule,20660,2026-08-26T17:00:00+10:00,2026-08-26T07:00:00+00:00,-37.7338437047388,145.08683445465346,12.3,9.9,0,2,partly_cloudy,11.2,29.9,0.1,8.0,11.6,true
banyule,Banyule,20660,2026-08-26T18:00:00+10:00,2026-08-26T08:00:00+00:00,-37.7338437047388,145.08683445465346,10.8,8.9,0,1,mainly_clear,8.2,23.4,0.0,9.9,13.6,true
banyule,Banyule,20660,2026-08-26T19:00:00+10:00,2026-08-26T09:00:00+00:00,-37.7338437047388,145.08683445465346,10.0,8.2,0,2,partly_cloudy,7.5,15.8,0.0,12.1,15.9,true
banyule,Banyule,20660,2026-08-26T20:00:00+10:00,2026-08-26T10:00:00+00:00,-37.7338437047388,145.08683445465346,9.5,7.8,0,3,overcast,6.7,14.0,0.0,12.9,16.4,true
banyule,Banyule,20660,2026-08-26T21:00:00+10:00,2026-08-26T11:00:00+00:00,-37.7338437047388,145.08683445465346,9.3,7.8,0,3,overcast,5.3,12.6,0.0,11.8,14.5,true
banyule,Banyule,20660,2026-08-26T22:00:00+10:00,2026-08-26T12:00:00+00:00,-37.7338437047388,145.08683445465346,9.0,7.7,0,2,partly_cloudy,4.2,9.7,0.0,11.8,14.3,true
banyule,Banyule,20660,2026-08-26T23:00:00+10:00,2026-08-26T13:00:00+00:00,-37.7338437047388,145.08683445465346,8.6,7.4,0,2,partly_cloudy,3.4,7.6,0.0,11.8,14.4,true
banyule,Banyule,20660,2026-08-27T00:00:00+10:00,2026-08-26T14:00:00+00:00,-37.7338437047388,145.08683445465346,8.1,7.0,0,3,overcast,2.3,6.1,0.0,11.6,14.2,true
banyule,Banyule,20660,2026-08-27T01:00:00+10:00,2026-08-26T15:00:00+00:00,-37.7338437047388,145.08683445465346,7.9,6.9,0,2,partly_cloudy,1.3,4.7,0.0,11.1,13.9,true
banyule,Banyule,20660,2026-08-27T02:00:00+10:00,2026-08-26T16:00:00+00:00,-37.7338437047388,145.08683445465346,7.4,6.1,0,1,mainly_clear,2.8,5.4,0.0,10.8,13.7,true
banyule,Banyule,20660,2026-08-27T03:00:00+10:00,2026-08-26T17:00:00+00:00,-37.7338437047388,145.08683445465346,6.8,5.5,0,1,mainly_clear,2.2,5.4,0.0,10.6,13.6,true
banyule,Banyule,20660,2026-08-27T04:00:00+10:00,2026-08-26T18:00:00+00:00,-37.7338437047388,145.08683445465346,6.3,4.8,0,1,mainly_clear,2.9,4.3,0.0,10.5,13.9,true
banyule,Banyule,20660,2026-08-27T05:00:00+10:00,2026-08-26T19:00:00+00:00,-37.7338437047388,145.08683445465346,6.0,4.4,0,0,clear_sky,2.4,5.4,0.0,10.8,14.2,true
banyule,Banyule,20660,2026-08-27T06:00:00+10:00,2026-08-26T20:00:00+00:00,-37.7338437047388,145.08683445465346,5.4,3.8,0,0,clear_sky,2.0,3.6,0.0,11.4,14.8,true
banyule,Banyule,20660,2026-08-27T07:00:00+10:00,2026-08-26T21:00:00+00:00,-37.7338437047388,145.08683445465346,4.8,3.1,0,0,clear_sky,1.9,3.6,0.05,16.4,19.8,true
banyule,Banyule,20660,2026-08-27T08:00:00+10:00,2026-08-26T22:00:00+00:00,-37.7338437047388,145.08683445465346,6.7,5.1,0,0,clear_sky,3.2,8.3,0.35,21.0,23.2,true
banyule,Banyule,20660,2026-08-27T09:00:00+10:00,2026-08-26T23:00:00+00:00,-37.7338437047388,145.08683445465346,9.6,8.3,0,1,mainly_clear,1.9,9.7,1.15,13.6,17.1,true
banyule,Banyule,20660,2026-08-27T10:00:00+10:00,2026-08-27T00:00:00+00:00,-37.7338437047388,145.08683445465346,11.5,10.2,0,2,partly_cloudy,2.8,12.6,2.3,10.4,14.6,true
banyule,Banyule,20660,2026-08-27T11:00:00+10:00,2026-08-27T01:00:00+00:00,-37.7338437047388,145.08683445465346,12.8,11.6,0,3,overcast,2.6,13.3,3.4,10.0,14.0,true
banyule,Banyule,20660,2026-08-27T12:00:00+10:00,2026-08-27T02:00:00+00:00,-37.7338437047388,145.08683445465346,13.4,11.8,0,3,overcast,3.6,14.4,3.95,9.8,13.8,true
banyule,Banyule,20660,2026-08-27T13:00:00+10:00,2026-08-27T03:00:00+00:00,-37.7338437047388,145.08683445465346,14.1,13.2,0,2,partly_cloudy,3.9,15.8,3.65,10.0,14.1,true
banyule,Banyule,20660,2026-08-27T14:00:00+10:00,2026-08-27T04:00:00+00:00,-37.7338437047388,145.08683445465346,14.7,13.6,0,0,clear_sky,5.3,17.6,2.8,10.3,14.3,true
banyule,Banyule,20660,2026-08-27T15:00:00+10:00,2026-08-27T05:00:00+00:00,-37.7338437047388,145.08683445465346,15.2,13.3,0,1,mainly_clear,7.2,19.8,1.65,10.5,14.5,true
banyule,Banyule,20660,2026-08-27T16:00:00+10:00,2026-08-27T06:00:00+00:00,-37.7338437047388,145.08683445465346,15.0,13.4,0,1,mainly_clear,5.2,19.8,0.65,10.0,13.8,true
