site_name,requested_latitude,requested_longitude,grid_latitude,grid_longitude,grid_elevation_m,source_timezone,source_file,timestamp_local,timestamp_utc,date_local,hour_local,uv_index,pm2_5,pm10
craigieburn,-37.5989,144.9418,-37.6,144.9,195.0,Australia/Sydney,air_quality_2026-08-26.json,2026-08-26T00:00:00+1000,2026-08-25T14:00:00+0000,2026-08-26,0,0.0,3.3,4.0
craigieburn,-37.5989,144.9418,-37.6,144.9,195.0,Australia/Sydney,air_quality_2026-08-26.json,2026-08-26T01:00:00+1000,2026-08-25T15:00:00+0000,2026-08-26,1,0.0,3.1,4.0
craigieburn,-37.5989,144.9418,-37.6,144.9,195.0,Australia/Sydney,air_quality_2026-08-26.json,2026-08-26T02:00:00+1000,2026-08-25T16:00:00+0000,2026-08-26,2,0.0,3.4,4.6
craigieburn,-37.5989,144.9418,-37.6,144.9,195.0,Australia/Sydney,air_quality_2026-08-26.json,2026-08-26T03:00:00+1000,2026-08-25T17:00:00+0000,2026-08-26,3,0.0,3.6,4.9
craigieburn,-37.5989,144.9418,-37.6,144.9,195.0,Australia/Sydney,air_quality_2026-08-26.json,2026-08-26T04:00:00+1000,2026-08-25T18:00:00+0000,2026-08-26,4,0.0,3.9,5.5
craigieburn,-37.5989,144.9418,-37.6,144.9,195.0,Australia/Sydney,air_quality_2026-08-26.json,2026-08-26T05:00:00+1000,2026-08-25T19:00:00+0000,2026-08-26,5,0.0,4.3,6.1
craigieburn,-37.5989,144.9418,-37.6,144.9,195.0,Australia/Sydney,air_quality_2026-08-26.json,2026-08-26T06:00:00+1000,2026-08-25T20:00:00+0000,2026-08-26,6,0.0,4.6,6.4
craigieburn,-37.5989,144.9418,-37.6,144.9,195.0,Australia/Sydney,air_quality_2026-08-26.json,2026-08-26T07:00:00+1000,2026-08-25T21:00:00+0000,2026-08-26,7,0.0,5.4,7.3
craigieburn,-37.5989,144.9418,-37.6,144.9,195.0,Australia/Sydney,air_quality_2026-08-26.json,2026-08-26T08:00:00+1000,2026-08-25T22:00:00+0000,2026-08-26,8,0.25,5.8,8.1
craigieburn,-37.5989,144.9418,-37.6,144.9,195.0,Australia/Sydney,air_quality_2026-08-26.json,2026-08-26T09:00:00+1000,2026-08-25T23:00:00+0000,2026-08-26,9,0.9,5.4,7.9
craigieburn,-37.5989,144.9418,-37.6,144.9,195.0,Australia/Sydney,air_quality_2026-08-26.json,2026-08-26T10:00:00+1000,2026-08-26T00:00:00+0000,2026-08-26,10,1.75,7.7,11.7
craigieburn,-37.5989,144.9418,-37.6,144.9,195.0,Australia/Sydney,air_quality_2026-08-26.json,2026-08-26T11:00:00+1000,2026-08-26T01:00:00+0000,2026-08-26,11,2.45,6.6,10.0
craigieburn,-37.5989,144.9418,-37.6,144.9,195.0,Australia/Sydney,air_quality_2026-08-26.json,2026-08-26T12:00:00+1000,2026-08-26T02:00:00+0000,2026-08-26,12,2.35,7.1,10.9
craigieburn,-37.5989,144.9418,-37.6,144.9,195.0,Australia/Sydney,air_quality_2026-08-26.json,2026-08-26T13:00:00+1000,2026-08-26T03:00:00+0000,2026-08-26,13,2.3,6.8,10.5
