site_name,observations,uv_mean,uv_max,pm2_5_mean_ugm3,pm2_5_max_ugm3,pm10_mean_ugm3,pm10_max_ugm3,hours_uv_ge_3,hours_uv_ge_6
banyule,120,0.61,3.95,12.46,28.8,16.09,35.2,4,0
bayside,120,0.58,3.3,12.2,26.4,16.57,31.0,3,0
boroondara,120,0.58,3.3,12.2,26.4,16.57,31.0,3,0
brimbank,120,0.66,3.95,11.08,28.5,14.38,34.3,6,0
cardinia,120,0.53,3.35,9.89,17.5,13.88,23.7,2,0
casey,120,0.58,3.3,12.2,26.4,16.57,31.0,3,0
darebin,120,0.61,3.95,12.46,28.8,16.09,35.2,4,0
frankston,120,0.58,3.3,12.2,26.4,16.57,31.0,3,0
glen_eira,120,0.58,3.3,12.2,26.4,16.57,31.0,3,0
greater_dandenong,120,0.58,3.3,12.2,26.4,16.57,31.0,3,0
hobsons_bay,120,0.6,3.3,9.98,19.3,14.03,25.8,4,0
hume,120,0.66,3.95,11.08,28.5,14.38,34.3,6,0
kingston,120,0.58,3.3,12.2,26.4,16.57,31.0,3,0
knox,120,0.58,3.3,12.2,26.4,16.57,31.0,3,0
manningham,120,0.61,3.95,12.46,28.8,16.09,35.2,4,0
maribyrnong,120,0.66,3.95,11.08,28.5,14.38,34.3,6,0
maroondah,120,0.58,3.3,12.2,26.4,16.57,31.0,3,0
melbourne,120,0.6,3.3,9.98,19.3,14.03,25.8,4,0
melton,120,0.66,3.95,11.08,28.5,14.38,34.3,6,0
merri_bek,120,0.66,3.95,11.08,28.5,14.38,34.3,6,0
monash,120,0.58,3.3,12.2,26.4,16.57,31.0,3,0
moonee_valley,120,0.66,3.95,11.08,28.5,14.38,34.3,6,0
mornington_peninsula,120,0.64,3.45,9.21,17.5,14.66,28.9,5,0
nillumbik,120,0.61,3.95,12.46,28.8,16.09,35.2,4,0
port_phillip,120,0.6,3.3,9.98,19.3,14.03,25.8,4,0
stonnington,120,0.58,3.3,12.2,26.4,16.57,31.0,3,0
whitehorse,120,0.58,3.3,12.2,26.4,16.57,31.0,3,0
whittlesea,120,0.61,3.95,12.46,28.8,16.09,35.2,4,0
wyndham,120,0.6,3.3,9.98,19.3,14.03,25.8,4,0
yarra,120,0.58,3.3,12.2,26.4,16.57,31.0,3,0
yarra_ranges,120,0.59,4.0,8.9,17.7,12.41,23.4,5,0
