column,dtype,rows,missing,missing_pct,unique,min,max
site_name,str,5208,0,0.0,31,,
requested_latitude,float64,5208,0,0.0,31,-38.33087456312881,-37.54176209066476
requested_longitude,float64,5208,0,0.0,31,144.62955839780793,145.7239722693755
grid_latitude,float64,5208,0,0.0,8,-38.34798,-37.57469
grid_longitude,float64,5208,0,0.0,24,144.60402,145.66266
time,datetime64[us],5208,0,0.0,168,,
temperature_2m,float64,5208,0,0.0,150,4.3,19.4
apparent_temperature,float64,5208,0,0.0,161,1.9,18.7
precipitation_probability,int64,5208,0,0.0,85,0.0,100.0
weather_code,int64,5208,0,0.0,8,0.0,80.0
wind_speed_10m,float64,5208,0,0.0,314,0.0,36.3
wind_gusts_10m,float64,5208,0,0.0,211,0.4,82.8
