site_name,observations,temperature_mean_c,temperature_min_c,temperature_max_c,apparent_temperature_mean_c,precipitation_probability_mean_pct,precipitation_probability_max_pct,wind_speed_mean_kmh,wind_speed_max_kmh,wind_gusts_max_kmh,hours_precip_probability_ge_50
banyule,168,11.36,4.8,18.7,9.81,7.39,100,7.78,25.2,65.5,10
bayside,168,11.96,7.3,18.7,10.22,7.39,100,9.99,27.8,68.8,10
boroondara,168,11.45,5.1,18.4,10.04,7.39,100,7.13,23.8,65.9,10
brimbank,168,12.04,5.9,19.4,10.11,6.11,65,8.95,26.1,70.2,9
cardinia,168,11.42,6.7,18.3,9.49,10.26,78,10.57,33.5,63.4,14
casey,168,11.52,6.9,18.5,9.73,9.36,80,9.44,31.0,61.9,13
darebin,168,11.61,5.6,18.3,10.13,7.39,100,7.4,25.5,69.1,10
frankston,168,11.84,8.1,18.0,9.94,6.12,69,10.45,30.9,65.2,7
glen_eira,168,11.98,6.5,19.0,10.34,7.39,100,9.1,26.0,73.8,10
greater_dandenong,168,12.2,8.0,18.7,10.44,9.36,80,9.79,29.0,69.1,13
hobsons_bay,168,12.21,7.8,18.0,10.45,6.11,65,9.8,25.4,42.5,9
hume,168,10.76,4.8,19.0,8.69,8.03,92,10.51,36.3,69.1,12
kingston,168,12.12,7.5,18.9,10.35,9.36,80,9.99,27.8,68.8,13
knox,168,11.42,6.2,18.2,9.88,9.36,80,8.03,26.0,68.8,13
manningham,168,10.98,4.6,17.5,9.45,7.86,80,7.47,24.4,72.7,8
maribyrnong,168,12.04,5.9,19.4,10.11,7.39,100,8.95,26.1,70.2,10
maroondah,168,10.97,5.0,18.0,9.37,7.86,80,7.77,26.6,75.6,8
melbourne,168,11.9,6.2,18.7,10.36,7.39,100,7.95,25.1,73.1,10
melton,168,11.09,4.5,18.6,9.25,6.11,65,8.72,26.3,57.2,9
merri_bek,168,11.61,5.6,18.3,10.13,7.39,100,7.4,25.5,69.1,10
monash,168,11.31,5.2,18.2,9.81,9.36,80,7.6,24.3,71.3,13
moonee_valley,168,11.62,5.6,18.7,9.99,7.39,100,8.0,26.3,71.3,10
mornington_peninsula,168,11.31,8.0,17.0,9.03,6.12,69,12.31,34.6,71.6,7
nillumbik,168,10.66,4.4,19.1,8.81,7.86,80,8.92,28.7,63.0,8
port_phillip,168,11.98,6.5,19.0,10.34,7.39,100,9.1,26.0,73.8,10
stonnington,168,11.98,6.5,19.0,10.34,7.39,100,9.1,26.0,73.8,10
whitehorse,168,11.31,5.2,18.2,9.81,7.86,80,7.6,24.3,71.3,8
whittlesea,168,10.79,4.6,18.4,8.86,8.57,96,9.79,33.1,61.9,14
wyndham,168,11.04,4.3,18.1,9.11,5.84,64,9.83,24.1,59.0,8
yarra,168,11.98,6.5,19.0,10.34,7.39,100,9.1,26.0,73.8,10
yarra_ranges,168,10.63,5.4,18.8,9.2,11.45,94,6.96,22.8,82.8,17
