site_name,display_name,lga_code,requested_latitude,requested_longitude,grid_latitude,grid_longitude,grid_elevation_m,source_timezone,source_file,timestamp_local,timestamp_utc,date_local,hour_local,temperature_2m,apparent_temperature,precipitation_probability,weather_code,wind_speed_10m,wind_gusts_10m,weather_description
banyule,Banyule,20660,-37.7338437047388,145.08683445465346,-37.71529,145.10695,69.0,Australia/Sydney,weather_forecast_2026-08-26.json,2026-08-26T00:00:00+1000,2026-08-25T14:00:00+0000,2026-08-26,0,11.0,9.1,74,51,13.9,26.6,light_drizzle
banyule,Banyule,20660,-37.7338437047388,145.08683445465346,-37.71529,145.10695,69.0,Australia/Sydney,weather_forecast_2026-08-26.json,2026-08-26T01:00:00+1000,2026-08-25T15:00:00+0000,2026-08-26,1,10.7,8.6,100,51,14.7,28.4,light_drizzle
banyule,Banyule,20660,-37.7338437047388,145.08683445465346,-37.71529,145.10695,69.0,Australia/Sydney,weather_forecast_2026-08-26.json,2026-08-26T02:00:00+1000,2026-08-25T16:00:00+0000,2026-08-26,2,10.5,8.7,89,51,12.3,28.1,light_drizzle
banyule,Banyule,20660,-37.7338437047388,145.08683445465346,-37.71529,145.10695,69.0,Australia/Sydney,weather_forecast_2026-08-26.json,2026-08-26T03:00:00+1000,2026-08-25T17:00:00+0000,2026-08-26,3,10.5,8.7,62,51,12.6,24.1,light_drizzle
banyule,Banyule,20660,-37.7338437047388,145.08683445465346,-37.71529,145.10695,69.0,Australia/Sydney,weather_forecast_2026-08-26.json,2026-08-26T04:00:00+1000,2026-08-25T18:00:00+0000,2026-08-26,4,10.0,8.1,37,2,11.5,23.8,partly_cloudy
banyule,Banyule,20660,-37.7338437047388,145.08683445465346,-37.71529,145.10695,69.0,Australia/Sydney,weather_forecast_2026-08-26.json,2026-08-26T05:00:00+1000,2026-08-25T19:00:00+0000,2026-08-26,5,9.2,7.4,22,3,9.1,21.6,overcast
banyule,Banyule,20660,-37.7338437047388,145.08683445465346,-37.71529,145.10695,69.0,Australia/Sydney,weather_forecast_2026-08-26.json,2026-08-26T06:00:00+1000,2026-08-25T20:00:00+0000,2026-08-26,6,8.5,6.7,10,1,8.8,16.6,mainly_clear
banyule,Banyule,20660,-37.7338437047388,145.08683445465346,-37.71529,145.10695,69.0,Australia/Sydney,weather_forecast_2026-08-26.json,2026-08-26T07:00:00+1000,2026-08-25T21:00:00+0000,2026-08-26,7,7.9,6.0,2,1,8.0,15.8,mainly_clear
banyule,Banyule,20660,-37.7338437047388,145.08683445465346,-37.71529,145.10695,69.0,Australia/Sydney,weather_forecast_2026-08-26.json,2026-08-26T08:00:00+1000,2026-08-25T22:00:00+0000,2026-08-26,8,8.8,6.8,0,2,9.7,19.4,partly_cloudy
banyule,Banyule,20660,-37.7338437047388,145.08683445465346,-37.71529,145.10695,69.0,Australia/Sydney,weather_forecast_2026-08-26.json,2026-08-26T09:00:00+1000,2026-08-25T23:00:00+0000,2026-08-26,9,10.1,8.5,0,51,8.2,20.9,light_drizzle
banyule,Banyule,20660,-37.7338437047388,145.08683445465346,-37.71529,145.10695,69.0,Australia/Sydney,weather_forecast_2026-08-26.json,2026-08-26T10:00:00+1000,2026-08-26T00:00:00+0000,2026-08-26,10,12.2,10.2,0,1,11.6,25.2,mainly_clear
banyule,Banyule,20660,-37.7338437047388,145.08683445465346,-37.71529,145.10695,69.0,Australia/Sydney,weather_forecast_2026-08-26.json,2026-08-26T11:00:00+1000,2026-08-26T01:00:00+0000,2026-08-26,11,13.3,10.4,3,51,15.5,36.0,light_drizzle
banyule,Banyule,20660,-37.7338437047388,145.08683445465346,-37.71529,145.10695,69.0,Australia/Sydney,weather_forecast_2026-08-26.json,2026-08-26T12:00:00+1000,2026-08-26T02:00:00+0000,2026-08-26,12,13.8,10.7,6,51,15.2,36.4,light_drizzle
banyule,Banyule,20660,-37.7338437047388,145.08683445465346,-37.71529,145.10695,69.0,Australia/Sydney,weather_forecast_2026-08-26.json,2026-08-26T13:00:00+1000,2026-08-26T03:00:00+0000,2026-08-26,13,13.9,10.7,8,51,16.6,38.5,light_drizzle
