place_id,display_name,place_name,name_source,activity_category,classification_confidence,lga_name,longitude,latitude,feature_type,feature_subtype,decision,source_dataset,source_record_id
vicmap_foi_990884,South Eastern Bmx Track,South Eastern Bmx Track,vicmap_name_label,skate_bmx,high,MONASH,145.086434383,-37.923106639,recreational resource,bmx track,include,vicmap_foi,990884
vicmap_foi_1341838,Diggers Rest Recreation Reserve - BMX Track,Diggers Rest Recreation Reserve - Cycling Velodrome,reviewed_override,skate_bmx,high,MELTON,144.705865497,-37.619818699,recreational resource,bmx track,include,vicmap_foi,1341838
vicmap_foi_1341884,Blackwood Drive Recreation Reserve - Bmx Track,Blackwood Drive Recreation Reserve - Bmx Track,vicmap_name_label,skate_bmx,high,MELTON,144.572156497,-37.691520953,recreational resource,bmx track,include,vicmap_foi,1341884
vicmap_foi_1341987,Blackwood Drive Recreation Reserve - Bmx Track,Blackwood Drive Recreation Reserve - Bmx Track,vicmap_name_label,skate_bmx,high,MELTON,144.572254472,-37.691644724,recreational resource,bmx track,include,vicmap_foi,1341987
vicmap_foi_1341980,Centenary Reserve - Bmx Track,Centenary Reserve - Bmx Track,vicmap_name_label,skate_bmx,high,MELTON,144.574220429,-37.670285989,recreational resource,bmx track,include,vicmap_foi,1341980
vicmap_foi_985979,Unnamed Playground - Melbourne,,generated_fallback,playground,high,MELBOURNE,144.940323046,-37.791305397,recreational resource,playground,include,vicmap_foi,985979
vicmap_foi_991018,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.211605651,-37.936143221,recreational resource,playground,include,vicmap_foi,991018
vicmap_foi_991060,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.149389387,-37.906119377,recreational resource,playground,include,vicmap_foi,991060
vicmap_foi_991026,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.089634888,-37.897171199,recreational resource,playground,include,vicmap_foi,991026
vicmap_foi_1002130,Unnamed Playground - Melbourne,,generated_fallback,playground,high,MELBOURNE,144.940681306,-37.795021709,recreational resource,playground,include,vicmap_foi,1002130
vicmap_foi_987812,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.179502529,-37.902652423,recreational resource,playground,include,vicmap_foi,987812
vicmap_foi_987813,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.171806949,-37.922648433,recreational resource,playground,include,vicmap_foi,987813
vicmap_foi_987814,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.201877789,-37.936974373,recreational resource,playground,include,vicmap_foi,987814
vicmap_foi_987539,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.146237678,-37.868701138,recreational resource,playground,include,vicmap_foi,987539
vicmap_foi_987540,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.149029795,-37.879203539,recreational resource,playground,include,vicmap_foi,987540
vicmap_foi_987547,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.182832707,-37.908278547,recreational resource,playground,include,vicmap_foi,987547
vicmap_foi_987548,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.161543046,-37.916233152,recreational resource,playground,include,vicmap_foi,987548
vicmap_foi_987704,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.14560772,-37.903340787,recreational resource,playground,include,vicmap_foi,987704
vicmap_foi_987758,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.18631528,-37.893365143,recreational resource,playground,include,vicmap_foi,987758
vicmap_foi_987759,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.170081088,-37.912142749,recreational resource,playground,include,vicmap_foi,987759
vicmap_foi_987846,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.172451903,-37.8758619,recreational resource,playground,include,vicmap_foi,987846
vicmap_foi_987847,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.171984568,-37.889424426,recreational resource,playground,include,vicmap_foi,987847
vicmap_foi_987896,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.196696722,-37.904199737,recreational resource,playground,include,vicmap_foi,987896
vicmap_foi_987897,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.087943367,-37.90697335,recreational resource,playground,include,vicmap_foi,987897
vicmap_foi_989839,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.201614745,-37.90549511,recreational resource,playground,include,vicmap_foi,989839
vicmap_foi_987588,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.171635243,-37.894591444,recreational resource,playground,include,vicmap_foi,987588
vicmap_foi_987646,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.182527627,-37.881037528,recreational resource,playground,include,vicmap_foi,987646
vicmap_foi_991001,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.174540456,-37.881035217,recreational resource,playground,include,vicmap_foi,991001
vicmap_foi_991002,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.173588193,-37.870991216,recreational resource,playground,include,vicmap_foi,991002
vicmap_foi_991003,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.180171726,-37.87063457,recreational resource,playground,include,vicmap_foi,991003
vicmap_foi_991004,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.171540854,-37.865347991,recreational resource,playground,include,vicmap_foi,991004
vicmap_foi_991044,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.171760647,-37.901667904,recreational resource,playground,include,vicmap_foi,991044
vicmap_foi_991045,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.079378107,-37.896289963,recreational resource,playground,include,vicmap_foi,991045
vicmap_foi_991046,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.182250108,-37.890062076,recreational resource,playground,include,vicmap_foi,991046
vicmap_foi_991047,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.167451949,-37.885844769,recreational resource,playground,include,vicmap_foi,991047
vicmap_foi_991048,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.104860645,-37.884020459,recreational resource,playground,include,vicmap_foi,991048
vicmap_foi_991084,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.114279644,-37.864547949,recreational resource,playground,include,vicmap_foi,991084
vicmap_foi_991086,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.162518729,-37.926270707,recreational resource,playground,include,vicmap_foi,991086
vicmap_foi_991087,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.177151008,-37.916290767,recreational resource,playground,include,vicmap_foi,991087
vicmap_foi_991088,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.099049258,-37.905620715,recreational resource,playground,include,vicmap_foi,991088
vicmap_foi_991089,Unnamed Playground - Monash,,generated_fallback,playground,high,MONASH,145.201017584,-37.904800534,recreational resource,playground,include,vicmap_foi,991089
