place_id,display_name,place_name,name_source,activity_category,classification_confidence,lga_name,longitude,latitude,feature_type,feature_subtype,decision,source_dataset,source_record_id
vicmap_foi_1341932,Victoria University Cyan Basketball Court,Victoria University Cyan - Basketball Court,reviewed_override,court,high,MELTON,144.56513018,-37.705176369,sport facility,basketball court,fallback,vicmap_foi,1341932
vicmap_foi_990887,Legend Park Tennis Club,Legend Park Tennis Club,vicmap_name_label,court,high,MONASH,145.181450866,-37.872805948,sport facility,tennis court,fallback,vicmap_foi,990887
vicmap_foi_70559,Essex Heights Tennis Club,Essex Heights Tennis Club,reviewed_override,court,high,MONASH,145.12386649,-37.860978739,sport facility,tennis court,fallback,vicmap_foi,70559
vicmap_foi_904010,Oakleigh Tennis Club,Oakleigh Tennis Club,vicmap_name_label,court,high,MONASH,145.092687086,-37.89135889,sport facility,tennis court,fallback,vicmap_foi,904010
vicmap_foi_990901,Glenvale Tennis Club,Glenvale Tennis Club,vicmap_name_label,court,high,MONASH,145.189655396,-37.885129948,sport facility,tennis court,fallback,vicmap_foi,990901
vicmap_foi_70746,Glen Iris Valley Recreation Club,Glen Iris Valley Recreation Club,vicmap_name_label,court,high,MONASH,145.118422486,-37.869445597,sport facility,tennis court,fallback,vicmap_foi,70746
vicmap_foi_1262811,Syndal Tennis Club,Syndal Tennis Club,vicmap_name_label,court,high,MONASH,145.146732254,-37.867835619,sport facility,tennis court,fallback,vicmap_foi,1262811
vicmap_foi_1340304,Mt Waverley Tennis Club,Mt Waverley Tennis Club,vicmap_name_label,court,high,MONASH,145.135483422,-37.871442344,sport facility,tennis court,fallback,vicmap_foi,1340304
vicmap_foi_1341886,Parkwood Green Recreation Reserve - Tennis Court,Parkwood Green Recreation Reserve - Tennis Court,reviewed_override,court,high,MELTON,144.746196508,-37.698408206,sport facility,tennis court,fallback,vicmap_foi,1341886
vicmap_foi_667093,Mulgrave Country Club Bowling Club,Mulgrave Country Club Bowling Club,vicmap_name_label,,medium,MONASH,145.185092141,-37.920930993,sport facility,bowling green,fallback,vicmap_foi,667093
vicmap_foi_1262799,Unnamed Bowling Green - Melton,,generated_fallback,,medium,MELTON,144.756920589,-37.71452096,sport facility,bowling green,fallback,vicmap_foi,1262799
vicmap_foi_667100,Oakleigh Bowling Club,Oakleigh Bowling Club,vicmap_name_label,,medium,MONASH,145.090004357,-37.895023047,sport facility,bowling green,fallback,vicmap_foi,667100
vicmap_foi_667115,South Oakleigh Bowling Club,South Oakleigh Bowling Club,vicmap_name_label,,medium,MONASH,145.092632117,-37.91068501,sport facility,bowling green,fallback,vicmap_foi,667115
vicmap_foi_1262425,Unnamed Bowling Green - Melton,,generated_fallback,,medium,MELTON,144.565062866,-37.693798981,sport facility,bowling green,fallback,vicmap_foi,1262425
vicmap_foi_71656,Mt Waverley Bowling Club,Mt Waverley Bowling Club,vicmap_name_label,,medium,MONASH,145.124541568,-37.870152313,sport facility,bowling green,fallback,vicmap_foi,71656
vicmap_foi_72109,Riversdale Golf Bowling Club,Riversdale Golf Bowling Club,vicmap_name_label,,medium,MONASH,145.114406606,-37.87193382,sport facility,bowling green,fallback,vicmap_foi,72109
vicmap_foi_1262813,Unnamed Bowling Green - Monash,,generated_fallback,,medium,MONASH,145.165230492,-37.90511943,sport facility,bowling green,fallback,vicmap_foi,1262813
vicmap_foi_1262426,Unnamed Bowling Green - Melton,,generated_fallback,,medium,MELTON,144.750998567,-37.756947847,sport facility,bowling green,fallback,vicmap_foi,1262426
vicmap_foi_1262816,Unnamed Bowling Green - Monash,,generated_fallback,,medium,MONASH,145.189081481,-37.912352991,sport facility,bowling green,fallback,vicmap_foi,1262816
vicmap_foi_1262817,Unnamed Bowling Green - Monash,,generated_fallback,,medium,MONASH,145.194454756,-37.92066414,sport facility,bowling green,fallback,vicmap_foi,1262817
vicmap_foi_667091,Mount Cottrell Bowls Club,Mount Cottrell Bowls Club,vicmap_name_label,,medium,MELTON,144.615910822,-37.738765065,sport facility,bowling green,fallback,vicmap_foi,667091
vicmap_foi_667046,Diggers Rest Bowling Club,Diggers Rest Bowling Club,vicmap_name_label,,medium,MELTON,144.721596243,-37.629681325,sport facility,bowling green,fallback,vicmap_foi,667046
vicmap_foi_78163,Monash Croquet Club,Monash Croquet Club,vicmap_name_label,,medium,MONASH,145.109351001,-37.868926425,sport facility,croquet green,fallback,vicmap_foi,78163
vicmap_foi_1341810,Victoria University Cyan Skateboarding Facility,Victoria University / Cyan - Skateboarding Facility,reviewed_override,skate_bmx,high,MELTON,144.564884874,-37.705046654,recreational resource,skate park,fallback,vicmap_foi,1341810
vicmap_foi_71522,Metropolitan Golf Club,Metropolitan Golf Club,vicmap_name_label,,medium,MONASH,145.093014918,-37.916762737,sport facility,golf course,fallback,vicmap_foi,71522
vicmap_foi_71784,Oakleigh Public Golf Course,Oakleigh Public Golf Course,vicmap_name_label,,medium,MONASH,145.103355636,-37.890663254,sport facility,golf course,fallback,vicmap_foi,71784
vicmap_foi_72111,Riversdale Golf Club,Riversdale Golf Club,vicmap_name_label,,medium,MONASH,145.115957361,-37.87144727,sport facility,golf course,fallback,vicmap_foi,72111
vicmap_foi_71010,Huntingdale Golf Club,Huntingdale Golf Club,vicmap_name_label,,medium,MONASH,145.099571797,-37.919777107,sport facility,golf course,fallback,vicmap_foi,71010
vicmap_foi_70749,Glen Waverley Public Golf Course,Glen Waverley Public Golf Course,vicmap_name_label,,medium,MONASH,145.193948316,-37.888909069,sport facility,golf course,fallback,vicmap_foi,70749
vicmap_foi_75932,Melton Valley Golf Club,Melton Valley Golf Club,vicmap_name_label,,medium,MELTON,144.595043384,-37.68051103,sport facility,golf course,fallback,vicmap_foi,75932
vicmap_foi_1341883,Melton Secondary College Oval,Melton Secondary College - Oval,reviewed_override,sports_ground,high,MELTON,144.566176803,-37.683536771,sport facility,sports ground,fallback,vicmap_foi,1341883
vicmap_foi_1341652,Diggers Rest Bowling Club - Lawn Bowls Green,Diggers Rest Bowling Club - Lawn Bowls Green,vicmap_name_label,sports_ground,high,MELTON,144.721596243,-37.629681325,sport facility,sports ground,fallback,vicmap_foi,1341652
vicmap_foi_650987,Unnamed Swimming Pool - Melton,,generated_fallback,,medium,MELTON,144.570533183,-37.679116803,sport facility,swimming pool,fallback,vicmap_foi,650987
vicmap_foi_990153,Unnamed Swimming Pool - Monash,,generated_fallback,,medium,MONASH,145.156178413,-37.888846459,sport facility,swimming pool,fallback,vicmap_foi,990153
vicmap_foi_990166,Unnamed Swimming Pool - Monash,,generated_fallback,,medium,MONASH,145.163588384,-37.89513566,sport facility,swimming pool,fallback,vicmap_foi,990166
vicmap_foi_1316318,Unnamed Swimming Pool - Monash,,generated_fallback,,medium,MONASH,145.097117934,-37.89237625,sport facility,swimming pool,fallback,vicmap_foi,1316318
vicmap_foi_71478,Melbourne Cricket Ground (MCG),Melbourne Cricket Ground,reviewed_override,sports_ground,high,MELBOURNE,144.983459863,-37.819977375,sport facility,sports ground,fallback,vicmap_foi,71478
vicmap_foi_651005,Unnamed Swimming Pool - Melbourne,,generated_fallback,,medium,MELBOURNE,144.942970004,-37.799533135,sport facility,swimming pool,fallback,vicmap_foi,651005
vicmap_foi_1002039,Sea Life Melbourne Aquarium,Sea Life Melbourne Aquarium,vicmap_name_label,,medium,MELBOURNE,144.958361427,-37.820648979,cultural centre,aquarium,fallback,vicmap_foi,1002039
vicmap_foi_1342910,Unnamed Swimming Pool - Melbourne,,generated_fallback,,medium,MELBOURNE,144.963548975,-37.807033814,sport facility,swimming pool,fallback,vicmap_foi,1342910
