lga_code,site_name,display_name,latitude,longitude,area_sqkm,coordinate_source
20660,banyule,Banyule,-37.7338437047388,145.08683445465346,62.5402,ABS_ASGS_2025_LGA_PT
20910,bayside,Bayside,-37.94177121090012,145.01933040260965,37.2111,ABS_ASGS_2025_LGA_PT
21110,boroondara,Boroondara,-37.82638816829649,145.06120032823353,60.1776,ABS_ASGS_2025_LGA_PT
21180,brimbank,Brimbank,-37.75777166449116,144.81644228805706,123.3991,ABS_ASGS_2025_LGA_PT
21450,cardinia,Cardinia,-38.09492945016003,145.56457959542814,1282.5671,ABS_ASGS_2025_LGA_PT
21610,casey,Casey,-38.10470074086808,145.3227992170936,409.4287,ABS_ASGS_2025_LGA_PT
21890,darebin,Darebin,-37.739303059887945,145.02287482953065,53.4712,ABS_ASGS_2025_LGA_PT
22170,frankston,Frankston,-38.129067332252696,145.16875000632388,129.5981,ABS_ASGS_2025_LGA_PT
22310,glen_eira,Glen Eira,-37.89947547268133,145.04104488479757,38.6908,ABS_ASGS_2025_LGA_PT
22670,greater_dandenong,Greater Dandenong,-38.00450592423965,145.19073159088342,129.5466,ABS_ASGS_2025_LGA_PT
23110,hobsons_bay,Hobsons Bay,-37.85692420807772,144.8365925742649,64.2405,ABS_ASGS_2025_LGA_PT
23270,hume,Hume,-37.5971521009482,144.823570879774,503.8488,ABS_ASGS_2025_LGA_PT
23430,kingston,Kingston,-37.97317532432438,145.09531946112688,91.3676,ABS_ASGS_2025_LGA_PT
23670,knox,Knox,-37.89893753264437,145.26577056061342,113.9114,ABS_ASGS_2025_LGA_PT
24210,manningham,Manningham,-37.75709145113663,145.18527872637898,113.3479,ABS_ASGS_2025_LGA_PT
24330,maribyrnong,Maribyrnong,-37.79217377766585,144.87786848890715,31.2258,ABS_ASGS_2025_LGA_PT
24410,maroondah,Maroondah,-37.802868577202695,145.26149495445853,61.4097,ABS_ASGS_2025_LGA_PT
24600,melbourne,Melbourne,-37.81304457558759,144.9481534322198,37.5452,ABS_ASGS_2025_LGA_PT
24650,melton,Melton,-37.68142666335505,144.63596097650208,527.5374,ABS_ASGS_2025_LGA_PT
24700,merri_bek,Merri-bek,-37.72688464752494,144.93745287572685,50.9522,ABS_ASGS_2025_LGA_PT
24970,monash,Monash,-37.89673562404778,145.1412216752278,81.4829,ABS_ASGS_2025_LGA_PT
25060,moonee_valley,Moonee Valley,-37.74941300567491,144.887461013023,43.1384,ABS_ASGS_2025_LGA_PT
25340,mornington_peninsula,Mornington Peninsula,-38.33087456312881,145.0821873780605,723.992,ABS_ASGS_2025_LGA_PT
25710,nillumbik,Nillumbik,-37.62918137048658,145.21705692779534,432.3373,ABS_ASGS_2025_LGA_PT
25900,port_phillip,Port Phillip,-37.85872196338894,144.98330895235486,20.6141,ABS_ASGS_2025_LGA_PT
26350,stonnington,Stonnington,-37.86128611194329,145.03906713769834,25.651,ABS_ASGS_2025_LGA_PT
26980,whitehorse,Whitehorse,-37.828669714588216,145.15642882976957,64.2801,ABS_ASGS_2025_LGA_PT
27070,whittlesea,Whittlesea,-37.54176209066476,145.09375406320098,489.6938,ABS_ASGS_2025_LGA_PT
27260,wyndham,Wyndham,-37.892783439531485,144.62955839780793,542.0943,ABS_ASGS_2025_LGA_PT
27350,yarra,Yarra,-37.820871732973174,145.00338351417753,19.5421,ABS_ASGS_2025_LGA_PT
27450,yarra_ranges,Yarra Ranges,-37.750045854469924,145.7239722693755,2468.2052,ABS_ASGS_2025_LGA_PT
